Fecha;Gasolina superior;Gasolina regular;Diesel;"Total
gasolinas";Total Consumo
feb-07;401.425,14;204.991,91;799.394,60;606.417,05;2.270.426,73
mar-07;454.731,09;239.019,91;956.680,19;693.751,00;2.721.845,44
abr-07;403.732,56;217.536,23;758.988,58;621.268,79;2.316.561,70
may-07;426.414,71;224.400,73;811.703,69;650.815,44;2.576.625,62
jun-07;390.991,36;217.473,91;720.896,77;608.465,27;2.447.015,92
jul-07;416.497,41;219.874,23;721.550,61;636.371,64;2.577.074,08
ago-07;411.088,53;236.565,57;736.620,90;647.654,10;2.434.753,09
sep-07;390.568,99;207.241,84;669.587,88;597.810,83;2.123.747,69
oct-07;419.001,81;224.750,77;738.702,86;643.752,58;2.249.550,18
nov-07;417.490,77;218.116,79;779.547,05;635.607,56;2.407.384,11
dic-07;438.542,79;252.394,11;768.886,87;690.936,91;2.406.425,50
ene-08;403.266,74;213.645,39;797.668,91;616.912,13;2.349.515,29
feb-08;407.735,55;215.873,67;794.000,25;623.609,22;2.283.261,26
mar-08;424.157,28;233.761,07;776.026,79;657.918,35;2.329.780,09
abr-08;399.193,53;233.687,28;807.725,77;632.880,81;2.435.992,91
may-08;390.882,63;236.635,85;682.326,18;627.518,48;2.440.586,60
jun-08;337.464,32;200.656,57;507.662,65;538.120,89;2.003.659,37
jul-08;374.847,05;228.640,21;544.399,26;603.487,26;1.953.500,22
ago-08;378.363,76;227.499,00;556.174,40;605.862,76;1.902.120,35
sep-08;367.962,73;218.214,64;557.802,62;586.177,37;1.877.361,94
oct-08;386.430,40;238.955,44;617.863,13;625.385,84;1.995.693,56
nov-08;375.438,69;238.626,16;688.104,11;614.064,85;2.062.143,01
dic-08;463.343,73;298.245,47;778.953,84;761.589,20;2.256.177,43
ene-09;424.264,50;273.494,16;800.526,47;697.758,66;2.395.729,87
feb-09;424.438,71;254.667,70;795.050,51;679.106,41;2.306.316,41
mar-09;434.248,69;290.343,28;865.981,57;724.591,97;2.507.628,92
abr-09;454.265,40;290.887,08;822.109,74;745.152,48;2.673.544,22
may-09;432.401,49;276.970,67;770.687,28;709.372,16;2.641.261,83
jun-09;393.140,38;252.551,99;703.815,55;645.692,37;2.363.643,72
jul-09;435.256,09;283.142,05;740.868,09;718.398,14;2.413.889,93
ago-09;409.182,96;267.830,84;692.376,70;677.013,80;2.332.997,27
sep-09;420.238,71;248.994,42;687.435,10;669.233,13;2.304.872,90
oct-09;421.753,29;269.008,52;775.739,56;690.761,81;2.569.728,58
nov-09;391.754,81;212.149,91;738.678,65;603.904,72;2.319.021,70
dic-09;449.842,29;296.805,29;891.670,41;746.647,58;2.531.064,81
ene-10;389.068,41;243.341,49;777.741,34;632.409,90;2.229.868,21
feb-10;391.195,69;248.207,93;807.692,10;639.403,62;2.312.920,07
mar-10;465.664,59;320.985,41;1.017.058,18;786.650,00;2.672.144,80
abr-10;387.063,18;254.872,61;762.770,01;641.935,79;2.128.180,57
may-10;381.811,18;238.903,31;721.668,18;620.714,49;2.129.209,59
jun-10;385.981,10;251.896,39;683.236,54;637.877,49;2.095.207,04
jul-10;422.481,80;278.700,49;721.584,60;701.182,29;2.110.229,80
ago-10;410.176,39;268.917,79;695.796,33;679.094,18;2.004.950,68
sep-10;396.429,75;266.975,25;687.553,88;663.405,00;2.008.992,05
oct-10;418.305,07;275.031,21;745.415,51;693.336,28;2.070.773,96
nov-10;409.652,73;273.452,94;785.917,40;683.105,67;2.142.192,90
dic-10;466.766,78;320.807,17;843.762,00;787.573,95;2.262.042,06
ene-11;411.737,33;285.089,04;850.696,79;696.826,37;2.274.013,07
feb-11;391.131,10;269.301,38;819.940,50;660.432,48;2.167.948,55
mar-11;393.160,91;281.453,75;900.485,91;674.614,66;2.470.456,30
abr-11;386.749,27;285.598,37;797.527,23;672.347,64;2.465.941,15
may-11;371.876,75;253.277,88;803.849,53;625.154,63;2.430.138,62
jun-11;380.800,43;290.137,49;729.676,79;670.937,92;2.506.088,38
jul-11;389.294,64;279.283,36;718.255,06;668.578,00;2.096.190,42
ago-11;408.494,51;256.380,27;699.736,08;664.874,78;2.142.669,04
sep-11;380.453,23;256.728,25;660.384,93;637.181,48;1.952.754,18
oct-11;381.309,50;242.071,01;672.214,93;623.380,51;1.947.413,63
nov-11;381.871,84;231.413,83;794.507,24;613.285,67;2.114.746,04
dic-11;449.904,10;291.678,03;862.318,80;741.582,13;2.311.721,16
ene-12;393.781,94;261.933,68;814.956,72;655.715,62;2.116.578,44
feb-12;402.633,55;253.733,22;848.067,25;656.366,77;2.245.140,51
mar-12;429.534,50;290.286,65;925.065,27;719.821,15;2.497.385,98
abr-12;389.264,02;262.615,28;792.201,73;651.879,30;2.210.285,21
may-12;405.877,41;235.374,04;771.542,47;641.251,45;2.378.167,87
jun-12;409.111,24;261.012,58;712.464,94;670.123,82;2.164.315,62
jul-12;420.370,60;233.061,35;699.130,04;653.431,95;2.142.803,47
ago-12;433.828,02;259.165,94;716.720,36;692.993,96;2.253.967,16
sep-12;378.478,80;228.205,77;632.120,37;606.684,57;1.963.464,36
oct-12;414.523,22;261.347,22;728.414,88;675.870,44;2.273.452,29
nov-12;394.751,47;272.657,82;812.523,44;667.409,29;2.316.741,46
dic-12;442.191,43;310.407,04;848.262,93;752.598,47;2.352.667,37
ene-13;408.557,45;287.985,59;863.769,41;696.543,04;2.252.416,21
feb-13;361.215,69;259.659,66;808.853,97;620.875,35;2.069.737,09
mar-13;413.744,86;313.075,45;898.352,20;726.820,31;2.457.071,13
abr-13;409.238,30;330.070,65;966.103,92;739.308,95;2.508.230,00
may-13;403.354,79;313.131,36;827.601,25;716.486,15;2.482.671,83
jun-13;402.012,07;287.596,64;775.187,12;689.608,71;2.344.015,04
jul-13;425.154,22;314.185,61;732.544,52;739.339,83;2.280.253,62
ago-13;416.968,15;288.400,67;773.147,90;705.368,82;2.259.603,19
sep-13;379.479,78;249.357,42;672.125,16;628.837,20;1.939.354,91
oct-13;430.179,69;314.518,72;800.049,12;744.698,41;2.190.140,04
nov-13;404.692,46;306.638,45;821.457,45;711.330,91;2.167.425,47
dic-13;448.135,35;339.969,85;860.351,90;788.105,20;2.265.415,09
ene-14;412.617,93;312.139,77;917.251,54;724.757,70;2.329.215,09
feb-14;385.430,58;312.142,65;890.362,31;697.573,23;2.297.388,19
mar-14;434.863,96;335.869,63;1.004.937,39;770.733,59;2.527.910,09
abr-14;437.470,07;349.155,30;972.039,42;786.625,37;2.517.074,34
may-14;427.487,20;332.737,37;877.263,31;760.224,57;2.458.681,13
jun-14;387.299,10;303.016,82;733.508,70;690.315,92;2.152.358,29
jul-14;439.137,13;344.659,64;826.918,81;783.796,77;2.445.741,15
ago-14;442.953,10;326.356,06;793.694,01;769.309,16;2.476.740,21
sep-14;411.466,28;371.327,13;728.498,84;782.793,41;2.192.154,31
oct-14;459.922,48;343.812,67;836.278,12;803.735,15;2.486.938,45
nov-14;436.467,90;343.918,56;885.713,74;780.386,46;2.394.185,30
dic-14;538.899,26;464.223,15;1.021.378,09;1.003.122,41;2.804.423,86
ene-15;503.135,70;419.102,72;1.014.706,21;922.238,42;2.683.539,90
feb-15;454.190,88;398.167,69;980.149,84;852.358,57;2.540.046,24
mar-15;521.879,26;457.246,14;1.142.551,06;979.125,40;2.958.995,20
abr-15;486.779,41;413.451,11;1.011.167,74;900.230,52;2.764.588,75
may-15;483.594,83;415.570,95;944.316,66;899.165,78;2.739.859,78
jun-15;480.892,11;414.466,18;880.016,47;895.358,29;2.639.584,63
jul-15;515.322,66;440.729,53;902.586,36;956.052,19;2.790.760,07
ago-15;513.413,00;439.588,90;887.796,85;953.001,90;2.916.791,95
sep-15;501.658,04;422.826,59;734.654,22;924.484,63;2.555.014,13
oct-15;532.741,14;448.971,88;834.285,95;981.713,02;2.665.258,82
nov-15;516.486,95;423.841,82;925.431,00;940.328,77;2.606.583,61
dic-15;600.161,72;499.839,17;1.047.478,84;1.100.000,89;2.889.213,01
ene-16;545.737,53;433.180,34;1.084.043,63;978.917,87;2.867.643,45
feb-16;540.459,19;450.916,35;1.055.672,64;991.375,54;2.836.282,21
