Fecha;Gasolina superior;Gasolina regular;Diesel;"Total
gasolinas";Total importación
dic/2006; 395.132,09 ; 234.319,30 ;890.336,68;629.451,39;2.455.102,40
ene/2007; 523.730,31 ; 289.550,59 ;818.060,57;813.280,90;2.436.512,46
feb/2007; 401.855,41 ; 299.077,04 ;822.325,65;700.932,45;2.497.839,14
mar/2007; 541.817,85 ; 326.317,75 ;569.451,85;868.135,60;2.576.087,18
abr/2007; 203.441,33 ; 94.844,90 ;850.138,11;298.286,23;2.381.278,34
may/2007; 545.587,63 ; 238.404,83 ;793.887,04;783.992,46;2.284.573,67
jun/2007; 441.537,39 ; 170.064,98 ;855.757,14;611.602,37;2.894.467,94
jul/2007; 451.180,82 ; 227.660,47 ;1.118.432,25;678.841,29;2.913.383,19
ago/2007; 501.840,27 ; 351.306,27 ;824.047,47;853.146,54;2.820.840,88
sep/2007; 336.120,81 ; 181.015,83 ;497.008,84;517.136,64;1.874.056,60
oct/2007; 376.377,75 ; 312.120,18 ;885.924,86;688.497,93;2.570.638,07
nov/2007; 512.550,51 ; 289.282,55 ;665.114,83;801.833,06;1.773.085,00
dic/2007; 542.916,97 ; 222.108,35 ;812.776,59;765.025,32;2.914.524,62
ene/2008; 204.788,30 ; 107.885,65 ;613.819,33;312.673,95;1.872.561,10
feb/2008; 545.139,83 ; 234.830,10 ;500.922,23;779.969,93;2.073.812,52
mar/2008; 405.713,48 ; 241.800,33 ;1.095.743,35;647.513,81;2.575.191,49
abr/2008; 570.256,98 ; 271.554,27 ;682.042,07;841.811,25;2.687.756,07
may/2008; 424.954,88 ; 242.628,16 ;710.464,76;667.583,04;2.969.531,73
jun/2008; 273.398,73 ; 177.838,70 ;817.804,84;451.237,43;1.744.201,50
jul/2008; 384.549,70 ; 232.129,20 ;541.486,15;616.678,90;2.283.549,57
ago/2008; 241.881,47 ; 138.376,72 ;713.650,52;380.258,19;1.945.416,15
sep/2008; 423.244,17 ; 290.621,26 ;544.521,54;713.865,43;1.999.461,12
oct/2008; 329.762,30 ; 358.036,44 ;344.273,02;687.798,74;1.834.210,06
nov/2008; 386.365,05 ; 170.365,32 ;809.439,42;556.730,37;2.184.295,83
dic/2008; 458.949,42 ; 238.398,92 ;524.038,42;697.348,34;1.846.035,95
ene/2009; 382.300,56 ; 202.484,53 ;941.535,71;584.785,09;2.651.976,41
feb/2009; 522.820,81 ; 588.346,36 ;914.059,40;1.111.167,17;2.718.352,59
mar/2009; 626.630,99 ; 298.459,25 ;893.473,80;925.090,24;2.249.909,01
abr/2009; 348.267,66 ; 182.218,96 ;816.840,02;530.486,62;2.162.519,38
may/2009; 341.700,48 ; 377.337,48 ;621.339,93;719.037,96;2.694.539,19
jun/2009; 589.337,79 ; 363.676,29 ;735.260,51;953.014,08;2.793.073,40
jul/2009; 337.172,65 ; 363.911,51 ;850.806,89;701.084,16;2.478.809,11
ago/2009; 476.525,36 ; 210.495,68 ;842.742,17;687.021,04;2.214.516,47
sep/2009; 321.728,95 ; 161.783,68 ;611.966,22;483.512,63;1.999.149,34
oct/2009; 639.524,61 ; 375.067,23 ;869.366,31;1.014.591,84;2.786.998,37
nov/2009; 321.859,44 ; 201.213,10 ;894.309,88;523.072,54;2.924.854,66
dic/2009; 435.416,18 ; 291.525,48 ;1.144.960,66;726.941,66;2.618.068,03
ene/2010; 318.949,72 ; 173.918,35 ;905.803,65;492.868,07;2.320.037,65
feb/2010; 492.452,55 ; 336.005,72 ;447.271,92;828.458,27;2.156.824,40
mar/2010; 303.762,94 ; 157.798,77 ;947.702,88;461.561,71;2.132.003,12
abr/2010; 562.996,07 ; 433.108,23 ;613.011,21;996.104,30;2.833.628,23
may/2010; 429.729,38 ; 279.926,95 ;1.086.036,16;709.656,33;2.610.192,35
jun/2010; 464.310,80 ; 281.834,46 ;587.828,26;746.145,26;1.857.823,92
jul/2010; 456.588,39 ; 241.994,24 ;712.889,93;698.582,63;2.478.724,40
ago/2010; 475.714,12 ; 282.509,24 ;637.252,29;758.223,36;1.911.376,66
sep/2010; 321.134,56 ; 208.796,02 ;741.721,42;529.930,58;1.571.045,29
oct/2010; 493.794,29 ; 392.100,62 ;630.692,56;885.894,91;2.198.766,87
nov/2010; 241.062,76 ; 139.547,73 ;565.627,54;380.610,49;1.882.491,18
dic/2010; 652.210,77 ; 430.857,95 ;1.135.293,92;1.083.068,72;2.718.239,98
ene/2011; 391.997,54 ; 253.700,82 ;1.033.948,69;645.698,36;2.696.174,73
feb/2011; 437.769,48 ; 343.582,85 ;772.775,58;781.352,33;2.509.070,20
mar/2011; 445.920,27 ; 291.087,16 ;707.536,31;737.007,43;1.923.832,85
abr/2011; 357.349,67 ; 326.003,71 ;767.445,36;683.353,38;2.791.786,01
may/2011; 433.038,13 ; 326.566,61 ;918.940,44;759.604,74;2.397.424,42
jun/2011; 354.604,94 ; 230.990,13 ;553.883,42;585.595,07;2.332.150,13
jul/2011; 369.694,76 ; 188.581,40 ;734.958,54;558.276,16;2.221.298,77
ago/2011; 270.765,31 ; 201.844,49 ;1.014.324,28;472.609,80;2.384.817,25
sep/2011; 335.803,82 ; 260.669,22 ;795.554,71;596.473,04;2.345.690,03
oct/2011; 351.555,66 ; 239.711,91 ;612.133,26;591.267,57;1.764.086,81
nov/2011; 450.212,80 ; 237.803,48 ;575.406,48;688.016,28;1.908.439,22
dic/2011; 534.925,36 ; 367.820,54 ;732.921,03;902.745,90;2.088.955,39
ene/2012; 434.648,17 ; 318.283,44 ;790.123,23;752.931,61;2.590.946,78
feb/2012; 372.893,49 ; 253.583,96 ;887.963,98;626.477,45;1.984.217,75
mar/2012; 354.160,85 ; 255.492,16 ;978.693,29;609.653,01;2.653.012,90
abr/2012; 399.701,69 ; 189.948,79 ;697.871,28;589.650,48;1.877.720,75
may/2012; 380.531,85 ; 241.786,29 ;833.370,09;622.318,14;2.648.568,61
jun/2012; 550.379,33 ; 320.566,69 ;767.124,65;870.946,02;2.710.638,33
jul/2012; 271.509,20 ; 142.232,47 ;1.021.995,90;413.741,67;1.975.801,33
ago/2012; 361.307,20 ; 263.677,23 ;626.706,23;624.984,43;1.944.950,71
sep/2012; 372.989,29 ; 201.347,56 ;619.651,27;574.336,85;2.114.828,97
oct/2012; 600.094,03 ; 374.301,51 ;463.054,77;974.395,54;2.013.689,23
nov/2012; 359.818,54 ; 197.398,80 ;538.552,89;557.217,34;2.308.418,04
dic/2012; 419.029,17 ; 287.980,58 ;1.324.780,96;707.009,75;2.651.030,35
ene/2013; 433.924,69 ; 396.416,84 ;749.266,68;830.341,53;2.723.791,82
feb/2013; 470.483,98 ; 235.502,58 ;709.843,02;705.986,56;2.108.677,08
mar/2013; 429.974,17 ; 439.386,62 ;832.627,57;869.360,79;2.529.437,15
abr/2013; 430.259,18 ; 274.680,65 ;860.094,78;704.939,83;2.461.630,69
may/2013; 532.379,66 ; 281.823,20 ;1.202.187,85;814.202,86;2.784.012,56
jun/2013; 284.038,03 ; 293.808,60 ;729.711,88;577.846,63;2.488.553,89
jul/2013; 486.075,06 ; 259.025,83 ;693.160,50;745.100,89;1.965.220,95
ago/2013; 347.066,11 ; 221.433,20 ;505.133,44;568.499,31;2.047.346,36
sep/2013; 373.303,31 ; 300.794,99 ;803.626,98;674.098,30;2.300.992,12
oct/2013; 372.946,33 ; 281.168,85 ;980.327,98;654.115,18;2.360.174,87
nov/2013; 496.029,72 ; 390.941,15 ;903.218,47;886.970,87;2.594.018,83
dic/2013; 358.799,64 ; 210.096,78 ;791.698,89;568.896,42;2.062.374,95
ene/2014; 457.365,46 ; 487.880,79 ;1.595.698,56;945.246,25;3.292.444,39
feb/2014; 455.726,06 ; 312.423,86 ;688.703,18;768.149,92;1.996.323,39
mar/2014; 582.572,93 ; 472.437,63 ;1.147.182,50;1.055.010,56;3.348.387,65
abr/2014; 270.302,22 ; 207.049,00 ;845.051,33;477.351,22;2.205.449,41
may/2014; 563.319,79 ; 417.767,24 ;1.008.148,07;981.087,03;3.299.278,85
jun/2014; 404.603,55 ; 247.114,99 ;694.920,68;651.718,54;2.065.597,19
jul/2014; 558.403,41 ; 454.196,13 ;845.875,86;1.012.599,54;2.513.071,83
ago/2014; 398.563,48 ; 305.285,53 ;760.353,37;703.849,01;2.681.043,91
sep/2014; 547.486,22 ; 378.741,56 ;598.145,89;926.227,78;2.317.813,24
oct/2014; 379.572,07 ; 256.340,49 ;762.763,24;635.912,56;2.134.055,27
nov/2014; 533.524,40 ; 372.809,93 ;1.033.873,16;906.334,33;2.754.121,68
dic/2014; 583.081,57 ; 491.072,11 ;1.004.032,65;1.074.153,68;2.903.049,86
ene/2015; 471.973,30 ; 371.420,59 ;1.324.421,96;843.393,89;3.104.601,52
feb/2015; 664.315,85 ; 548.714,53 ;955.286,02;1.213.030,38;2.926.012,44
mar/2015; 622.883,10 ; 453.536,19 ;1.164.885,97;1.076.419,29;3.283.015,37
abr/2015; 599.558,55 ; 537.064,59 ;1.130.870,79;1.136.623,14;3.215.244,26
may/2015; 618.319,21 ; 534.049,28 ;954.782,75;1.152.368,49;3.154.183,76
jun/2015; 525.280,85 ; 394.824,33 ;862.071,77;920.105,18;2.918.609,19
jul/2015; 616.269,01 ; 519.374,15 ;1.149.630,43;1.135.643,16;3.059.052,87
ago/2015; 467.373,13 ; 328.552,07 ;919.285,90;795.925,20;2.913.063,82
sep/2015; 576.250,29 ; 485.906,49 ;754.068,77;1.062.156,78;2.957.721,64
oct/2015; 533.620,64 ; 432.666,75 ;1.163.425,95;966.287,39;3.099.355,08
nov/2015; 724.273,97 ; 574.547,76 ;904.700,42;1.298.821,73;3.299.849,79
dic/2015; 498.798,79 ; 319.329,71 ;1.113.876,28;818.128,50;2.906.814,10
ene/2016; 729.211,43 ; 546.876,54 ;987.507,78;1.276.087,97;3.501.343,52
feb/2016; 405.559,45 ; 424.074,81 ;1.167.227,96;829.634,26;2.796.986,02
mar/2016; 771.024,11 ; 508.542,18 ;1.498.844,95;1.279.566,29;3.880.554,92
abr/2016; 502.728,88 ; 527.083,64 ;1.137.213,10;1.029.812,52;3.265.468,87
may/2016; 615.900,31 ; 528.347,81 ;1.035.544,08;1.144.248,12;3.210.221,96
jun/2016; 502.082,45 ; 397.477,40 ;800.222,53;899.559,85;2.904.070,46
jul/2016; 618.366,10 ; 526.652,73 ;859.222,62;1.145.018,83;2.900.274,25
ago/2016; 625.218,90 ; 512.202,57 ;701.185,75;1.137.421,47;3.023.562,62
sep/2016; 677.892,97 ; 567.786,57 ;1.274.128,31;1.245.679,54;3.128.712,73
oct/2016; 546.154,65 ; 455.850,76 ;927.923,50;1.002.005,41;2.819.270,50
nov/2016; 725.548,16 ; 476.784,16 ;957.656,05;1.202.332,32;3.254.339,16
dic/2016; 526.573,96 ; 473.659,59 ;1.303.735,78;1.000.233,55;3.549.503,52
ene/2017; 748.233,58 ; 527.564,90 ;842.993,49;1.275.798,48;2.936.978,82
feb/2017; 497.707,41 ; 469.140,06 ;844.676,98;966.847,47;2.340.252,77
mar/2017; 734.984,24 ; 608.144,98 ;1.351.787,92;1.343.129,22;4.322.010,07
abr/2017; 632.843,41 ; 681.303,11 ;1.406.022,43;1.314.146,52;3.918.889,22
may/2017; 442.311,09 ; 386.088,18 ;889.926,86;828.399,27;2.593.330,05
jun/2017; 582.374,34 ; 519.389,66 ;902.659,00;1.101.764,00;2.915.829,91
jul/2017; 769.214,06 ; 433.026,08 ;994.338,30;1.202.240,14;2.849.217,56
ago/2017; 607.368,72 ; 592.103,31 ;846.696,35;1.199.472,03;3.292.901,32
sep/2017; 401.678,98 ; 316.435,22 ;925.397,87;718.114,20;2.341.819,50
oct/2017; 657.241,76 ; 574.073,61 ;740.198,57;1.231.315,37;3.088.136,41
nov/2017; 504.247,31 ; 434.963,36 ;1.135.350,10;939.210,67;3.173.510,32
dic/2017; 803.216,88 ; 679.441,47 ;1.305.047,55;1.482.658,35;3.683.675,54
ene/2018; 535.784,70 ; 571.858,06 ;1.175.819,42;1.107.642,76;2.912.134,23
feb/2018; 629.467,91 ; 509.366,10 ;951.630,60;1.138.834,01;3.229.913,18
mar/2018; 529.507,15 ; 563.899,06 ;901.292,05;1.093.406,21;3.188.604,61
abr/2018; 617.512,28 ; 510.830,00 ;696.962,77;1.128.342,28;2.306.558,19
may/2018; 580.329,35 ; 580.825,11 ;1.630.635,64;1.161.154,46;3.943.859,32
jun/2018; 558.257,59 ; 463.620,61 ;777.679,91;1.021.878,20;2.611.811,52
jul/2018; 784.601,77 ; 543.333,77 ;793.683,41;1.327.935,54;3.292.959,25
ago/2018; 541.557,34 ; 663.834,04 ;1.281.364,78;1.205.391,38;3.215.972,55
sep/2018; 536.897,09 ; 454.442,87 ;896.266,43;991.339,96;2.889.025,05
oct/2018; 663.440,34 ; 726.044,35 ;998.731,04;1.389.484,69;3.618.804,23
nov/2018; 509.382,86 ; 534.084,49 ;938.624,18;1.043.467,35;2.945.785,64
dic/2018; 631.652,56 ; 535.639,97 ;792.198,66;1.167.292,53;3.187.742,62
ene/2019; 684.504,84 ; 702.923,37 ;1.195.728,20;1.387.428,21;3.505.419,78
feb/2019; 521.555,38 ; 469.437,28 ;1.208.476,16;990.992,66;3.189.074,42
